countryCode	countryName	regionCode	regionName	regionTypeName	source	totalArea	totalPopulation	totalPopulationDensity	url
GBR	United Kingdom	E07000026	Allerdale	non-metropolitan district (two-tier)	Office for National Statistics	1242	96660	78	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000027	Barrow-in-Furness	non-metropolitan district (two-tier)	Office for National Statistics	78	67515	866	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000028	Carlisle	non-metropolitan district (two-tier)	Office for National Statistics	1039	108155	104	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000029	Copeland	non-metropolitan district (two-tier)	Office for National Statistics	732	69647	95	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000030	Eden	non-metropolitan district (two-tier)	Office for National Statistics	2142	52565	25	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000031	South Lakeland	non-metropolitan district (two-tier)	Office for National Statistics	1534	103454	67	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E11000001	Greater Manchester (Met County)	metropolitan county	Office for National Statistics	1276	2756162	2160	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000001	Bolton	metropolitan borough	Office for National Statistics	140	281619	2012	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000002	Bury	metropolitan borough	Office for National Statistics	99	187884	1898	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000003	Manchester	metropolitan borough	Office for National Statistics	116	530292	4571	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000004	Oldham	metropolitan borough	Office for National Statistics	142	230823	1626	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000005	Rochdale	metropolitan borough	Office for National Statistics	158	214195	1356	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000006	Salford	metropolitan borough	Office for National Statistics	97	245614	2532	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000007	Stockport	metropolitan borough	Office for National Statistics	126	288733	2292	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000008	Tameside	metropolitan borough	Office for National Statistics	103	221692	2152	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
