countryCode	countryName	landArea	regionCode	regionDensity	regionName	source	stateCode	stateFips	totalPopulation	url	waterArea
USA	United States	77856.841944	45	59.408574564671916	South Carolina	US Census Bureau	SC	45	4625364	https://www.census.gov/geo/maps-data/data/tiger-data.html	5075.831885
USA	United States	196349.580075	46	4.146583861748042	South Dakota	US Census Bureau	SD	46	814180	https://www.census.gov/geo/maps-data/data/tiger-data.html	3379.099963
USA	United States	106797.885992	47	59.42163499823745	Tennessee	US Census Bureau	TN	47	6346105	https://www.census.gov/geo/maps-data/data/tiger-data.html	2355.218865
USA	United States	676586.997978	48	37.165303316717946	Texas	US Census Bureau	TX	48	25145561	https://www.census.gov/geo/maps-data/data/tiger-data.html	19074.619314
USA	United States	212818.329473	49	12.987062753683775	Utah	US Census Bureau	UT	49	2763885	https://www.census.gov/geo/maps-data/data/tiger-data.html	7063.566754
USA	United States	23871.030489	50	26.213405419943953	Vermont	US Census Bureau	VT	50	625741	https://www.census.gov/geo/maps-data/data/tiger-data.html	1035.236182
USA	United States	102278.849309	51	78.2275519724287	Virginia	US Census Bureau	VA	51	8001024	https://www.census.gov/geo/maps-data/data/tiger-data.html	8507.698663
USA	United States	172119.00161	53	39.06913203712953	Washington	US Census Bureau	WA	53	6724540	https://www.census.gov/geo/maps-data/data/tiger-data.html	12541.835586
USA	United States	62258.675601	54	29.76282392955749	West Virginia	US Census Bureau	WV	54	1852994	https://www.census.gov/geo/maps-data/data/tiger-data.html	496.845871
USA	United States	140268.064888	55	40.543697558962506	Wisconsin	US Census Bureau	WI	55	5686986	https://www.census.gov/geo/maps-data/data/tiger-data.html	29366.760483
USA	United States	251470.069067	56	2.2413243933608307	Wyoming	US Census Bureau	WY	56	563626	https://www.census.gov/geo/maps-data/data/tiger-data.html	1864.445306
USA	United States	8867.536532	72	420.16054701944137	Puerto Rico	US Census Bureau	PR	72	3725789	https://www.census.gov/geo/maps-data/data/tiger-data.html	4923.745357
